关键词,描述内容
腹腔微创手术机器人,具有传统技术所不可比拟的优越性
码垛机器人,码垛机器人
码垛机器人,码垛机器人
码垛机器人,是机械与计算机程序有机结合的产物
码垛机器人,为现代生产提供了更高的生产效率
码垛机器人,码垛机器在码垛行业有着相当广泛的应用
码垛机器人,码垛机器人大大节省了劳动力
码垛机器人,节省空间
码垛机器人,码垛机器人运作灵活精准、快速高效、稳定性高
码垛机器人,作业效率高
码垛机器人,码垛机器人系统采用专利技术的坐标式机器人的安装占用空间灵活紧凑
码垛机器人,能够在较小的占地面积范围内建造高效节能的全自动砌块成型机生产线的构想变成现实
电石出炉机器人,电石出炉机器人
电石出炉机器人,电石出炉是电石生产的关键工序之一
电石出炉机器人,主要包括炉前和捣炉作业
电石出炉机器人,电石出炉机器人系统包括炉前作业机器人和捣炉机器人两大系统
电石出炉机器人,电石出炉机器人可以在复杂、高温、危险的环境下作业
电石出炉机器人,在降低出炉工劳动强度的同时
电石出炉机器人,可以提高出炉操作的效率和精准度
人机协作型工业机器人,人机协作型工业机器人
人机协作型工业机器人,人机协作型工业机器人简称协作性机器人
人机协作型工业机器人,指被设计成可以在协作区域内与人直接进行交互的机器人
人机协作型工业机器人,本质上讲
人机协作型工业机器人,协作机器人与传统机器人之间并没有非常大的不同
人机协作型工业机器人,只是基于不同的设计理念生产的工业机器人产品
人机协作型工业机器人,在协作机器人发展初期
人机协作型工业机器人,很多都是从传统机器人的基础上改造的
人机协作型工业机器人,但协作机器人与传统机器人相比
人机协作型工业机器人,更加灵活高效
人机协作型工业机器人,易于部署和替换
人机协作型工业机器人,但运行速度和负载能力一般低于传统的机器人
核反应堆压力容器检查机器人,核反应堆压力容器检查机器人
核反应堆压力容器检查机器人,反应堆压力容器是核能发电的关键设备
核反应堆压力容器检查机器人,而且是特别容易出问题的设备之一
核反应堆压力容器检查机器人,对反应堆压力容器进行定期检查和维修是十分重要的
核反应堆压力容器检查机器人,哈尔滨工业大学与中核武汉核电运行技术股份有限公司联合研制成功具有自主知识产权的核反应堆压力容器检查机器人系统
核反应堆压力容器检查机器人,该机器人系统实现了核反应堆压力容器的自动化检查
核反应堆压力容器检查机器人,遥操作系统具有全三维动态模拟及实际控制、可离线编程仿真、测量及干涉检测等功能
核反应堆压力容器检查机器人,本系统已通过了由CNPO 组织的UK-IVC（英国验证中心）认证
核反应堆压力容器检查机器人,是国内首个通过 IVC 认证的、具有自主知识产权的核反应堆压力容器检查机器人系统
核反应堆压力容器检查机器人,具备了在核反应堆实际现场应用的资质
核反应堆压力容器检查机器人,同时打破了此类产品被西屋等国外公司长期垄断的局面
核反应堆压力容器检查机器人,该系统于2011 年完成秦山核电站3、4 号反应堆压力容器机组役前、在役检测
核反应堆压力容器检查机器人,并在役前检查中成功检出 3 号反应堆中某压力容器存在缺陷
核反应堆压力容器检查机器人,避免了重大核事故的发生
微纳机器人,微纳机器人
微纳机器人,微纳机器人是实验室面对世界科技前沿做的一些内容
微纳机器人,微纳游动机器人指能在液体中游动的尺寸在1 nm~100μm左右的机器人
微纳机器人,为介入式健康监测、超微诊断、靶向给药等提供变革性手段
微纳机器人,现在还属于理论研究的阶段
微纳机器人,没有应用到人体
扑翼机器人,扑翼机器人
扑翼机器人,扑翼机器人由深圳校区的徐文福老师研发
扑翼机器人,亮相过2019年的央视春晚
扑翼机器人,应用于边境的侦查工作
扑翼机器人,扑翼机器人克服了固定翼、旋翼无人机成本高、能量利用率低、隐身能力弱等缺陷
扑翼机器人,且在自主能力、抗风能力、带载能力、巡航能力等方面明显高于微小型扑翼飞行器
空间机械臂技术,空间机械臂技术
空间机械臂技术,小机械臂由我实验室刘宏院士、谢宗武教授团队和中科院长光所联合研制
空间机械臂技术,相比于核心舱配备的大机械臂
空间机械臂技术,小机械臂更加精巧
空间机械臂技术,采用了7自由度对称构型
空间机械臂技术,两端各有一个末端作用器
空间机械臂技术,配合问天实验舱表面的“脚印”
空间机械臂技术,可实现舱体不同位置的爬行
空间机械臂技术,问天实验舱的小机械臂长约5米
空间机械臂技术,最大负载3吨；相比于核心舱配备的展开长度达10米、最大承载质量25吨的大机械臂
空间机械臂技术,要显得更“短小精悍”
空间机械臂技术,相较于在天和核心舱上搭载的大机械臂
空间机械臂技术,问天实验舱小机械臂末端定位精度更高
空间机械臂技术,位置精度优于大机械臂5倍
空间机械臂技术,姿态精度优于大机械臂2倍
空间机械臂技术,其运动精度也更高
空间机械臂技术,可用于完成精度要求更高的科学载荷安装、拆卸等任务
空间机械臂技术,小机械臂可单独使用
空间机械臂技术,也可与大机械臂形成组合机械臂
空间机械臂技术,执行大范围、跨舱段的支持航天员出舱活动、舱外状态检查、舱外货物转移及安装、舱外维护维修、载荷照料、光学设施维护等任务
医疗机器人,医疗机器人
医疗机器人,医疗机器人实验室承担了一批国家自然科学基金基础研究、863计划、国家重点研发计划等重点和重大医疗机器人研究项目
医疗机器人,突破了医疗机器人灵巧手术器械设计、力反馈感知、精确主从控制、狭小空间精准操作、风险分析与安全控制、动物与临床试验、系统集成等关键技术
医疗机器人,研制了骨科、普外科、心内科、神经外科手术机器人系统
医疗机器人,获省部级科技进步奖4项、出版专著3部、获国家发明专利200余项
医疗机器人,腹腔微创手术机器人获批国产腔镜手术医疗器械III类注册证
医疗机器人,正在实施产业化
协作型工业机器人,协作型工业机器人
协作型工业机器人,研发了新一代人机协作型工业机器人
协作型工业机器人,操作复杂度更高、技巧性更强
协作型工业机器人,机器人的核心部件具有独立自主知识产权
协作型工业机器人,全部实现国产化
协作型工业机器人,解决了批量化制造难题
协作型工业机器人,哈工大协作型工业机器人 2018 年获得了“世界三大设计奖之一”的德国红点奖与“中国设计界的奥斯卡”中国设计红星奖
核环境检测与维护,核环境检测与维护
核环境检测与维护,自主研发了国内首台具有自主知识产权的核反应堆压力容器检查机器人
核环境检测与维护,通过了英国IVC认证并投入使用
核环境检测与维护,在秦山一期、二期、岭澳、福清等核电站完成了役前、在役检测任务
核环境检测与维护,研制了我国首台核聚变堆重载包层维护机器人与多功能灵巧机械臂
核环境检测与维护,制订了通用技术标准和规范
徐文福老师,徐文福老师
徐文福老师,徐文福
徐文福老师,哈尔滨工业大学（深圳）教授
徐文福老师,博士生导师
徐文福老师,机电工程与自动化学院副院长
徐文福老师,国家级高层次人才
徐文福老师,“广东特支计划”科技创新领军人才
徐文福老师,深圳“鹏城学者”特聘教授
徐文福老师,IEEE高级会员
徐文福老师,爱思唯尔中国高被引学者
徐文福老师,全球前2%顶尖科学家
徐文福老师,面向国际学术前沿及国家重大需求
徐文福老师,开展特种机器人及仿生机器人的研究
徐文福老师,在宇航空间机器人、仿生扑翼飞行机器人、多足移动操作机器人、敏捷操作机器人等方面取得创新性研究成果
徐文福老师,实现多项重要工程应用
徐文福老师,获部级科技进步一等奖2项
徐文福老师,已作为课题负责人主持了国家级项目/课题16项（其中
徐文福老师,国家级重点项目6项）
徐文福老师,以第一或通信作者发表学术论文150余篇
徐文福老师,其中SCI期刊论文80余篇
徐文福老师,有JCR一区论文60余篇（包括JCR 一区论文45篇
徐文福老师,IEEE Transactions 汇刊18篇）；出版学术专著4部、教材2部
徐文福老师,获得授权国家发明专利60余项
徐文福老师,作为IROS、Robio、IEEE-SMC、ICARCV等多个顶级国际会议分会场主席主持论文报告
徐文福老师,《Biomimetic Intelligence and Robotics》期刊编委
徐文福老师,获得IEEE/ASME Transactions on Mechatronics国际期刊年度最佳论文提名奖1次
徐文福老师,国际会议最佳论文奖1次、提名奖3次
徐文福老师,获某部科技进步一等奖获2项
徐文福老师,入选爱思唯尔2020年、2021、2022年中国高被引学者 （机械工程）
徐文福老师,2022年全球前2%顶尖科学家；所带领的团队获2021年 “广东青年五四奖章”优秀集体、“深圳青年五四奖章”优秀集体
刘宏院士,刘宏院士
刘宏院士,刘宏
刘宏院士,1966年12月出生于安徽省合肥市
刘宏院士,中国工程院院士
刘宏院士,哈尔滨工业大学党委常委、副校长
刘宏院士,机器人技术与系统国家重点实验室主任
刘宏院士,中国机械工程学会机器人分会副主任委员
刘宏院士,1986年7月
刘宏院士,刘宏在哈尔滨工业大学机械设计制造及其自动化专业获学士学位；1993年3月
刘宏院士,在哈尔滨工业大学机械工程系机械电子工程专业获博士学位（硕博连读）
刘宏院士,随后在机器人研究所任讲师；2015年3月
刘宏院士,任哈尔滨工业大学校长助理、机电工程学院院长；2017年6月
刘宏院士,任哈尔滨工业大学党委委员、校长助理；2019年3月
刘宏院士,任哈尔滨工业大学党委常委、副校长
刘宏院士,刘宏教授主要从事空间机器人
刘宏院士,机器人灵巧手
刘宏院士,假手等方面研究
谢宗武教授,谢宗武教授
谢宗武教授,谢宗武
谢宗武教授,男
谢宗武教授,汉族
谢宗武教授,1973年生
谢宗武教授,教授
谢宗武教授,哈尔滨工业大学机器人研究所教师
谢宗武教授,先后主持承担国家自然科学基金重点项目、863重点项目等10余项
谢宗武教授,参加自然科学基金和863项目20余项
谢宗武教授,研究领域包括机器人驱动与控制、空间机器人可靠性
谢宗武教授,驱动
谢宗武教授,控制
谢宗武教授,主要研究方向：空间机器人
蔡鹤皋,蔡鹤皋
蔡鹤皋,蔡鹤皋教授
蔡鹤皋,男
蔡鹤皋,汉族
蔡鹤皋,1934年6月5日出生于吉林省长春市
蔡鹤皋,祖籍北京
蔡鹤皋,机器人及机电一体化技术专家
蔡鹤皋,中国工程院院士
蔡鹤皋,青岛科技大学兼职教授
蔡鹤皋,哈尔滨工业大学机电控制及自动化系教授
蔡鹤皋, 1958年毕业于哈尔滨工业大学；1958年—1979年
蔡鹤皋,担任在哈尔滨工业大学机械工程系讲师；1979年-1982年
蔡鹤皋,在美国加州大学伯克利工学院机械工程系进修；1982年—1985年
蔡鹤皋,担任哈尔滨工业大学机械工程系副教授；1985年—1986年
蔡鹤皋,担任哈尔滨工业大学机电工程学院教授、博士生导师；1986年—1999年
蔡鹤皋,在哈尔滨工业大学机器人研究所先后担任副所长、所长；1997年当选为中国工程院院士
蔡鹤皋,蔡鹤皋教授长期从事机器人及自动化技术研究设计工作
邓宗全,邓宗全
邓宗全,邓宗全教授
邓宗全,男
邓宗全,汉族
邓宗全,1956年10月2日出生于黑龙江省双鸭山市宝清县
邓宗全,宇航空间机构学专家
邓宗全,中国工程院院士
邓宗全,教育部高等学校机械基础课程教学指导委员会主任委员
邓宗全,宇航空间机构及控制技术国防重点学科实验室主任
邓宗全,哈尔滨工业大学教授、博士生导师
邓宗全,1982年
邓宗全,邓宗全在哈尔滨工业大学毕业
邓宗全,获学士学位；1984年
邓宗全,获哈尔滨工业大学硕士学位；2004年—2016年
邓宗全,担任哈尔滨工业大学副校长
邓宗全,博士生导师；2007年
邓宗全,担任宇航空间机构及控制国防重点学科实验室主任；2017年
邓宗全,当选为中国工程院院士
邓宗全,邓宗全教授长期从事宇航空间机构与特种机器人的设计理论与技术研究
段广仁,段广仁
段广仁,段广仁教授
段广仁,男
段广仁,1962年4月出生
段广仁,黑龙江桦川人
段广仁,中国共产党党员
段广仁,中国科学院院士
段广仁,IEEE Fellow
段广仁,IET Fellow
段广仁,国家杰青
段广仁,哈尔滨工业大学教授、博士生导师
段广仁,哈尔滨工业大学航天学院控制理论与制导技术研究中心主任
段广仁, 段广仁教授于1979年9月—1983年8月在东北重型机械学院应用数学专业学习
段广仁,并获学士学位；1983年9月—1986年8月
段广仁,在哈尔滨船舶工程学院现代控制理论专业学习
段广仁,并获硕士学位；1986年9月—1989年8月
段广仁,在哈尔滨工业大学 一般力学专业学习
段广仁,并获博士学位；1991年10月
段广仁,任哈尔滨工业大学控制工程系教授；2002年10月
段广仁,任哈工大控制理论与制导技术中心主任；2019年
段广仁,当选中国科学院院士
段广仁,段广仁教授长期从事自动控制理论与应用研究；主要研究方向为控制系统的参数化设计、鲁棒控制、广义系统、线性矩阵不等式方法、飞行器制导与控制、磁悬浮控制系统设计
实验室背景,实验室背景
实验室背景,机器人技术与系统国家重点实验室”源自哈尔滨工业大学机器人研究所
实验室背景,该所始建于1986年
实验室背景,是我国最早开展机器人技术研究的单位之一
实验室背景,在上个世纪80年代研制出我国第一台弧焊机器人和第一台点焊机器人
实验室背景,实验室依托机械工程（第四次学科评估A+）、控制科学与工程（A+）、电气工程（A-）等一级学科组建
实验室背景,于2007年开始建设
实验室背景,2007年8月通过可行性论证
实验室背景,2010年7月通过建设验收
实验室背景,2013年首次评估良好
实验室背景,2018年第二次评估优秀
实验室历史,实验室历史
实验室历史,机器人技术与系统国家重点实验室”源自哈尔滨工业大学机器人研究所
实验室历史,该所始建于1986年
实验室历史,是我国最早开展机器人技术研究的单位之一
实验室历史,在上个世纪80年代研制出我国第一台弧焊机器人和第一台点焊机器人
实验室历史,实验室依托机械工程（第四次学科评估A+）、控制科学与工程（A+）、电气工程（A-）等一级学科组建
实验室历史,于2007年开始建设
实验室历史,2007年8月通过可行性论证
实验室历史,2010年7月通过建设验收
实验室历史,2013年首次评估良好
实验室历史,2018年第二次评估优秀
实验室来源,实验室来源
实验室来源,机器人技术与系统国家重点实验室”源自哈尔滨工业大学机器人研究所
实验室来源,该所始建于1986年
实验室来源,是我国最早开展机器人技术研究的单位之一
实验室来源,在上个世纪80年代研制出我国第一台弧焊机器人和第一台点焊机器人
实验室队伍,实验室队伍
实验室队伍,实验室具有一支高素质的教学、科研队伍
实验室队伍,经过多年的发展
实验室队伍,形成了一支由院士、杰青、长江学者、资深教授等为学术带头人的学术梯队
实验室队伍,具备年招收硕士研究200余名、博士研究生100余名、入站博士后20余名的人才培养能力
实验室队伍,先后与美国、德国、日本、英国、法国、意大利、俄罗斯、澳大利亚、新加坡等国家和地区建立了学术交流与合作关系
实验室定位,实验室定位
实验室定位,立足国际机器人技术的发展前沿
实验室定位,面向国民经济发展与科技发展的战略目标和重大需求
实验室定位,凸显航天、国防特色和军民融合发展理念
实验室定位,开展战略性、前沿性、前瞻性的先进机器人基础研究、应用基础研究
实验室定位,通过多学科交叉
实验室定位,积极开展高水平学术交流与合作
实验室定位,将实验室建设成为具有国际影响力的机器人技术自主创新研究、高端人才培养与社会服务的国家级基地
实验室目标,实验室目标
实验室目标,攻克一批机器人领域前沿理论与核心技术
实验室目标,支撑国家重大科技工程的实施
实验室目标,引领我国机器人技术的跨越式发展；突破一批制约机器人产业化的技术瓶颈
实验室目标,促进科研成果的转化
实验室目标,提升国产机器人国际竞争力；培养和汇聚一批高端人才
实验室目标,促进学科交叉融合
实验室目标,形成特色鲜明、国际一流的学科体系
实验室研究方向,实验室研究方向
实验室研究方向,形成了多学科交叉融合、富有特色的4个研究方向：机器人设计方法与共性技术、机器人认知与智能行为控制、人机交互与和谐共存的理论与技术、机器人及机电一体化系统集成技术
中科院长光所,中科院长光所
中科院长光所,中国科学院长春光学精密机械与物理研究所位于吉林省长春市二道区
中科院长光所,始建于1952年
中科院长光所,1999年由中科院长春光机所（前身为始建于1952年的仪器馆和始建于1953年的机电研究所）与中科院长春物理所（前身为始建于1958年的吉林分院技术物理所）整合成中国科学院长春光学精密机械与物理研究所
中科院长光所,研究所主要研究方向是发光学、应用光学、光学工程、精密机械与仪器的研发生产
中科院长光所,先后参加了“两弹一星”、“载人航天工程”等多项国家重大工程项目
中科院长光所,据2015年12月研究所官网显示
中科院长光所,长春光机所园区占地总面积54万平方米
中科院长光所,建筑面积25万平方米；18个研究部室
中科院长光所,在职职工2100余人
中科院长光所,在学研究生近千人
中科院长光所,2019年10月26日
中科院长光所,中国科学院长春光学精密机械与物理研究所研究员张学军荣获首届中国空间科学学会技术奖
中国科学院长春光学精密机械与物理研究所,中国科学院长春光学精密机械与物理研究所
中国科学院长春光学精密机械与物理研究所,中国科学院长春光学精密机械与物理研究所位于吉林省长春市二道区
中国科学院长春光学精密机械与物理研究所,始建于1952年
中国科学院长春光学精密机械与物理研究所,1999年由中科院长春光机所（前身为始建于1952年的仪器馆和始建于1953年的机电研究所）与中科院长春物理所（前身为始建于1958年的吉林分院技术物理所）整合成中国科学院长春光学精密机械与物理研究所
中国科学院长春光学精密机械与物理研究所,研究所主要研究方向是发光学、应用光学、光学工程、精密机械与仪器的研发生产
中国科学院长春光学精密机械与物理研究所,先后参加了“两弹一星”、“载人航天工程”等多项国家重大工程项目
中国科学院长春光学精密机械与物理研究所,据2015年12月研究所官网显示
中国科学院长春光学精密机械与物理研究所,长春光机所园区占地总面积54万平方米
中国科学院长春光学精密机械与物理研究所,建筑面积25万平方米；18个研究部室
中国科学院长春光学精密机械与物理研究所,在职职工2100余人
中国科学院长春光学精密机械与物理研究所,在学研究生近千人
中国科学院长春光学精密机械与物理研究所,2019年10月26日
中国科学院长春光学精密机械与物理研究所,中国科学院长春光学精密机械与物理研究所研究员张学军荣获首届中国空间科学学会技术奖
机器人技术,机器人技术
机器人技术,机器人技术是综合了计算机、控制论、机构学、信息和传感技术、人工智能、仿生学等多学科而形成的高新技术
机械工程,机械工程
机械工程,机械工程是一门利用物理定律和化学规律为机械系统作分析、设计、制造及维修的工程学科
机械工程,机械工程是以有关的自然科学和技术科学为理论基础
机械工程,结合生产实践中的技术经验
机械工程,研究和解决在开发、设计、制造、安装、运用和维修各种机械中的全部理论和实际问题的应用学科
机械工程,机械工程是工学研究生教育一级学科
机械工程,工程研究生教育一个领域
学科评估,学科评估
学科评估,全国高校学科评估是在有关部门的支持下
学科评估,教育部学位与研究生教育发展中心（简称：学位中心）按照教育部和国务院学位委员会颁布的《学位授予和人才培养学科目录》
学科评估,对具有研究生培养和学位授予资格的一级学科进行整体水平评估（简称：学科评估）
学科评估,“学科评估”侧重于学术型学位
学科评估,而专业学位水平评估是“学科评估”的专业学位部分
学科评估,并根据评估结果进行聚类排位
学科评估,此项工作于2002年首次在全国开展
学科评估,至2017年已完成四轮评估
控制科学与工程,控制科学与工程
控制科学与工程,控制科学与工程在本科阶段称为“自动化”
控制科学与工程,研究生阶段称为“控制科学与工程”
控制科学与工程,本学科是研究控制的理论、方法、技术及其工程应用的学科
控制科学与工程,以控制论、系统论、信息论为基础
控制科学与工程,研究各应用领域内的共性问题
控制科学与工程,即为了实现控制目标
控制科学与工程,应如何建立系统的模型
控制科学与工程,分析其内部与环境信息
控制科学与工程,采取何种控制与决策行为；而与各应用领域的密切结合
控制科学与工程,又形成了控制工程丰富多样的内容
控制科学与工程,本学科点在理论研究与工程实践相结合、学科交叉和军民结合等方面具有明显的特色与优势
控制科学与工程,对经济发展和国家安全发挥了重大作用
控制科学与工程,服务领域覆盖互联网、人工智能、通信、IT、智能制造、金融管理、教育咨询、科学研究等领域
控制科学与工程,工作形式涵盖技术研发、管理咨询、教学科研等
电气工程,电气工程
电气工程,电气工程（英文：Electrical Engineering
电气工程,简称:EE）
电气工程,是现代科技领域中的核心学科和关键学科
电气工程,电气工程的传统、宽泛的定义是指用于创造产生电气与电子系统的有关学科的总和
电气工程,随着科学技术的飞速发展
电气工程,电气工程概念已经远超出上述定义的范畴
电气工程,斯坦福大学的教授指出：“当今的电气工程涵盖了几乎所有与电子、光子有关的工程行为”
电气工程,正是电子技术的巨大进步才推动了以计算机网络为基础的信息时代的到来
电气工程,并改变了包括人类的生活与工作模式等各个方面
电气工程,美国大学电气工程学科
电气工程,又称电气工程系、电气工程与信息科学系、电气工程与计算机科学系等
电气工程,主要以计算机和信息术为研究方向和重点
一级学科,一级学科
一级学科,一级学科
一级学科,包括以下2种提法：一是教育部《学位授予和人才培养学科目录》
一级学科,在高等学校研究生教育体系设置中
一级学科,一级学科是学科大类
一级学科,二级学科是其下的学科小类
一级学科,截至2021年1月14日
一级学科,共设14个学科门类（哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、管理学、军事学、艺术学、交叉学科）、112个一级学科
一级学科,例如
一级学科,理学下有数学、物理学、地理学等十余个一级学科
一级学科,二是国家标准《中华人民共和国学科分类与代码国家标准》（GB/T 13745）
一级学科,它是经国家技术监督局批准
一级学科,由国家科委与技术监督局共同提出
一级学科,国家技术监督局于1992年11月1日正式在北京发布该标准
一级学科,1993年7月1日正式实施此标准
一级学科,根据2009修订版
一级学科,共设5个门类（自然科学类、农业科学类、医药科学类、工程与技术科学类、人文与社会科学类）、58个一级学科
一级学科,例如
一级学科,自然科学类下有数学、物理学、地球科学等八个一级学科
可行性论证,可行性论证
可行性论证,可行性论证指对项目的技术先进性和经济合理性进行综合分析和论证
可行性论证,以期达到最佳经济效果的工作方法
可行性论证,一般分机会研究、初步可行性研究和技术经济可行性研究三个阶段
可行性论证,现代可行性论证的关键问题往往在于技术的成熟性、经济的合理性以及技术应用范围、条件和预期的经济效益、社会效益作出正确的分析和评价
介入式健康监测,介入式健康监测
介入式健康监测,介入式健康检测指直接干预或接触患者以进行健康评估或诊断的医疗手段
超微诊断,超微诊断
超微诊断,超微诊断（Ultra-Micro Diagnostics）是一种高度精确和敏感的医学检测技术
超微诊断,它能够检测和分析极小量的生物标志物
超微诊断,这种技术的主要特点是它能够在分子层面上进行诊断
超微诊断,从而实现早期疾病检测和准确的健康监测
靶向给药,靶向给药
靶向给药,"靶向给药系统诞生于20世纪70年代,是一种新的制剂技术和工艺,是指药物通过局部或全身血液循环而浓集定位于靶组织.靶器官.靶细胞的给药系统"
靶向给药,"靶向给药系统也是一种药物载体系统,具有将药物选择性的传输并释放于靶组织"
靶向给药,"靶器官或者靶细胞,使靶区药物浓度增大,降低其他非靶部位浓度以减少毒副作用的特性"
靶向给药,"靶向制剂最初只指向狭义的抗癌制剂,随着研究的深入,研究领域的拓宽从给药途径靶向专一性及特效型方面都有突破性进展,靶向制剂发展成为一切具有靶向性的制剂"
自主能力,自主能力
自主能力,自主能力是指机器人在没有人为直接控制的情况下
自主能力,能够独立完成任务和导航的能力
自主能力,机器人的自主能力设计环境感知
自主能力,数据处理与决策
自主能力,自主导航
自主能力,学习与自适应
自主能力,交互能力等多方面
带载能力,带载能力
带载能力,无人机是一种能够独立飞行的机器人
带载能力,具有携带和运输物品的能力
带载能力,无人机的载荷能力取决于其自身结构设计和电池容量等因素
带载能力,小型无人机可以携带数百克的负荷
带载能力,而大型无人机则可携带数千克的货物
巡航能力,巡航能力
巡航能力,小型飞行器的巡航能力通常指在飞行过程中长时间保持稳定飞行状态的能力
巡航能力,巡航能力受续航时间
巡航能力,飞行稳定性
巡航能力,自动导航和控制系统
巡航能力,飞行距离以及有效载荷的影响
中国优秀工业设计金奖,中国优秀工业设计金奖
中国优秀工业设计金奖,中国优秀工业设计奖是中国工业设计领域唯一经中央批准开展的国家政府奖项
中国优秀工业设计金奖,由工业和信息化部主办
中国优秀工业设计金奖,奖项旨在表彰具有引领性、前瞻性设计创新的项目及单位
中国优秀工业设计金奖,全面检验和展示中国工业设计成果
中国优秀工业设计金奖,营造全社会重视工业设计的良好氛围
中国优秀工业设计金奖,有利于促进工业设计创新发展
中国优秀工业设计金奖,助推制造强国建设
中国优秀工业设计金奖,工业设计是创意创新特点突出的行业
中国优秀工业设计金奖,其产品凝聚了科技、文化、艺术、智慧等元素
中国优秀工业设计金奖,有利于丰富制造业产品品种
中国优秀工业设计金奖,提升产品附加值
中国优秀工业设计金奖,《中国制造2025》明确提出
中国优秀工业设计金奖,设立国家工业设计奖
中国优秀工业设计金奖,激发全社会创新设计的积极性和主动性
中国优秀工业设计金奖,2012年、2016年、2018年、2020年相继举办了第一届、第二届、第三届和第四届中国优秀工业设计奖
中国优秀工业设计金奖,均取得了良好的社会反响
中国优秀工业设计金奖,设立金奖10个、银奖20个、铜奖30个
中国优秀工业设计金奖,分为产品设计奖和概念作品奖(概念作品奖占比不超过20%)
